Target Distance:20,Step Size:2
53:(x,y) = (0.107294,11.1976)
54:(x,y) = (0.316351,9.20858)
55:(x,y) = (-1.60617,9.75986)
56:(x,y) = (-2.41965,7.93276)
57:(x,y) = (-3.90594,9.27103)
58:(x,y) = (-2.44323,10.635)
59:(x,y) = (-0.64564,11.5118)
60:(x,y) = (-0.161797,13.4524)
61:(x,y) = (1.6041,12.5134)
62:(x,y) = (1.46459,10.5183)
63:(x,y) = (3.42088,10.1025)
64:(x,y) = (3.90472,8.16187)
65:(x,y) = (1.94843,8.57769)
66:(x,y) = (3.09558,6.93939)
67:(x,y) = (1.75732,5.4531)
68:(x,y) = (0.343108,6.86731)
69:(x,y) = (-1.65689,6.86731)
70:(x,y) = (-3.31497,5.74893)
71:(x,y) = (-4.49054,7.36696)
72:(x,y) = (-4.76888,9.3475)
73:(x,y) = (-6.25517,10.6858)
74:(x,y) = (-8.22479,11.0331)
75:(x,y) = (-6.44278,11.941)
76:(x,y) = (-8.17483,10.941)
77:(x,y) = (-6.59881,9.70971)
78:(x,y) = (-8.39639,10.5865)
79:(x,y) = (-6.43314,10.2048)
80:(x,y) = (-8.32418,9.5537)
81:(x,y) = (-7.0386,11.0858)
82:(x,y) = (-6.19336,12.8984)
83:(x,y) = (-7.0386,14.711)
84:(x,y) = (-8.86569,13.8975)
85:(x,y) = (-10.4417,15.1289)
86:(x,y) = (-9.44171,16.8609)
After 87 steps,the subject has the following location:
(x,y) = (-11.039,18.0646)
or
(m,a) = (21.1704,121.428)
Average outward distance per step = 0.243338
0:(x,y) = (0,0)
1:(x,y) = (-1.57602,1.23132)
2:(x,y) = (-0.794559,3.07233)
3:(x,y) = (-1.07291,1.0918)
4:(x,y) = (0.916138,1.30085)
5:(x,y) = (-0.0228048,-0.465042)
6:(x,y) = (0.595229,-2.36715)
7:(x,y) = (1.85387,-3.92145)
8:(x,y) = (3.85357,-3.95635)
9:(x,y) = (5.84869,-4.09586)
10:(x,y) = (6.66217,-5.92296)
11:(x,y) = (8.65729,-5.78344)
12:(x,y) = (7.90808,-7.63781)
13:(x,y) = (7.35681,-9.56033)
14:(x,y) = (8.20204,-11.3729)
15:(x,y) = (6.46999,-12.3729)
16:(x,y) = (4.62898,-11.5915)
17:(x,y) = (3.56914,-13.2876)
18:(x,y) = (2.08285,-14.6258)
19:(x,y) = (2.86432,-12.7848)
20:(x,y) = (0.864622,-12.7499)
21:(x,y) = (1.10836,-10.7648)
22:(x,y) = (-0.823491,-10.2472)
23:(x,y) = (-1.37477,-12.1697)
24:(x,y) = (0.504619,-12.8538)
25:(x,y) = (-0.465,-14.603)
26:(x,y) = (-2.37761,-15.1877)
27:(x,y) = (-0.392517,-14.944)
28:(x,y) = (0.607483,-13.212)
29:(x,y) = (1.89306,-11.6799)
30:(x,y) = (3.89275,-11.645)
31:(x,y) = (2.31673,-10.4136)
32:(x,y) = (1.40875,-12.1957)
33:(x,y) = (-0.373262,-13.1036)
34:(x,y) = (1.58303,-12.6878)
35:(x,y) = (0.324392,-14.2421)
36:(x,y) = (-1.3717,-15.3019)
37:(x,y) = (-2.81038,-16.6913)
38:(x,y) = (-1.3717,-15.3019)
39:(x,y) = (-2.51886,-16.9402)
40:(x,y) = (-3.07013,-18.8628)
41:(x,y) = (-1.3558,-19.8928)
42:(x,y) = (0.576055,-19.3752)
After 43 steps,the subject has the following location:
(x,y) = (1.1608,-21.2878)
or
(m,a) = (21.3194,-86.8788)
Average outward distance per step = 0.495801
Target Distance:30,Step Size:3
0:(x,y) = (0,0)
1:(x,y) = (-1.84698,2.36403)
2:(x,y) = (-3.43674,-0.180112)
3:(x,y) = (-3.90605,-3.14318)
4:(x,y) = (-5.91344,-5.37261)
5:(x,y) = (-3.21706,-4.0575)
6:(x,y) = (-3.53064,-1.07393)
7:(x,y) = (-4.75085,-3.81457)
8:(x,y) = (-5.01232,-0.825985)
9:(x,y) = (-4.95996,2.17356)
10:(x,y) = (-7.38701,0.410203)
11:(x,y) = (-7.80453,-2.5606)
12:(x,y) = (-8.17014,0.417037)
13:(x,y) = (-9.84772,-2.07008)
14:(x,y) = (-11.2097,-4.7431)
15:(x,y) = (-8.81378,-2.93765)
16:(x,y) = (-7.40537,-5.58649)
17:(x,y) = (-9.73681,-3.69853)
18:(x,y) = (-12.5184,-2.57471)
19:(x,y) = (-13.8335,-5.27109)
20:(x,y) = (-16.7444,-5.99686)
21:(x,y) = (-16.1206,-8.9313)
22:(x,y) = (-19.0914,-8.51378)
23:(x,y) = (-16.0955,-8.67079)
24:(x,y) = (-19.0882,-8.88006)
25:(x,y) = (-21.0564,-11.1442)
26:(x,y) = (-20.4327,-8.20975)
27:(x,y) = (-21.2596,-5.32596)
28:(x,y) = (-20.8421,-8.29677)
29:(x,y) = (-17.8421,-8.29677)
30:(x,y) = (-20.6952,-7.36971)
31:(x,y) = (-17.6957,-7.31736)
32:(x,y) = (-17.3821,-4.33379)
33:(x,y) = (-19.1028,-1.87634)
34:(x,y) = (-16.5587,-3.46609)
35:(x,y) = (-15.2908,-6.18502)
36:(x,y) = (-17.835,-7.77477)
37:(x,y) = (-20.4065,-6.22966)
38:(x,y) = (-23.2256,-5.2036)
39:(x,y) = (-20.7384,-3.52602)
40:(x,y) = (-18.2513,-5.2036)
41:(x,y) = (-21.0879,-6.1803)
42:(x,y) = (-21.4015,-9.16387)
43:(x,y) = (-22.6693,-6.44495)
44:(x,y) = (-19.7462,-5.77009)
45:(x,y) = (-17.5522,-3.7241)
46:(x,y) = (-16.0977,-1.10024)
47:(x,y) = (-15.7841,-4.08381)
48:(x,y) = (-16.4079,-7.01825)
49:(x,y) = (-19.0567,-8.42666)
50:(x,y) = (-21.2508,-10.4727)
51:(x,y) = (-20.4239,-13.3564)
52:(x,y) = (-20.7375,-10.3729)
53:(x,y) = (-23.7005,-9.90357)
54:(x,y) = (-25.0625,-12.5766)
55:(x,y) = (-22.301,-11.4044)
56:(x,y) = (-19.3233,-11.0388)
57:(x,y) = (-19.1663,-14.0347)
58:(x,y) = (-21.6823,-12.4008)
59:(x,y) = (-20.0484,-9.88475)
60:(x,y) = (-22.6199,-8.33964)
61:(x,y) = (-19.709,-7.61387)
62:(x,y) = (-16.8253,-8.44078)
63:(x,y) = (-19.0547,-10.4482)
64:(x,y) = (-21.7277,-9.0862)
65:(x,y) = (-18.9662,-7.91401)
66:(x,y) = (-16.1296,-6.93731)
67:(x,y) = (-15.3532,-4.03953)
68:(x,y) = (-12.4423,-4.76529)
69:(x,y) = (-12.4947,-7.76484)
70:(x,y) = (-9.61087,-8.59175)
71:(x,y) = (-11.579,-6.32762)
72:(x,y) = (-12.7029,-3.54607)
73:(x,y) = (-14.967,-1.57789)
74:(x,y) = (-17.967,-1.57789)
75:(x,y) = (-19.7304,0.849159)
76:(x,y) = (-22.6535,0.174305)
77:(x,y) = (-24.7374,-1.98371)
78:(x,y) = (-22.4393,-0.0553511)
79:(x,y) = (-23.9844,2.51615)
80:(x,y) = (-22.7166,-0.202773)
81:(x,y) = (-20.0927,-1.6572)
82:(x,y) = (-22.0211,-3.95533)
83:(x,y) = (-20.3435,-1.46822)
84:(x,y) = (-18.3361,-3.69766)
85:(x,y) = (-19.97,-6.21367)
86:(x,y) = (-17.543,-4.45031)
87:(x,y) = (-17.0737,-1.48725)
88:(x,y) = (-14.0755,-1.59195)
89:(x,y) = (-14.7503,1.33116)
90:(x,y) = (-11.7503,1.33116)
91:(x,y) = (-8.79592,1.85211)
92:(x,y) = (-10.2503,4.47597)
93:(x,y) = (-9.32329,7.32914)
94:(x,y) = (-6.32512,7.43384)
95:(x,y) = (-7.15203,4.55005)
96:(x,y) = (-9.80088,3.14164)
97:(x,y) = (-12.065,1.17346)
98:(x,y) = (-14.9994,1.79719)
99:(x,y) = (-17.8832,2.62411)
100:(x,y) = (-17.0563,-0.259679)
101:(x,y) = (-19.1023,-2.45374)
102:(x,y) = (-16.4293,-3.81571)
103:(x,y) = (-13.5455,-4.64262)
104:(x,y) = (-11.0881,-6.36335)
105:(x,y) = (-13.6861,-4.86335)
106:(x,y) = (-15.7321,-7.05741)
107:(x,y) = (-17.1405,-4.40857)
108:(x,y) = (-15.9683,-7.17009)
109:(x,y) = (-17.4228,-9.79394)
110:(x,y) = (-15.9228,-12.392)
111:(x,y) = (-16.7999,-15.2609)
112:(x,y) = (-19.2573,-13.5402)
113:(x,y) = (-22.0581,-12.4651)
114:(x,y) = (-23.3259,-9.74618)
115:(x,y) = (-20.7818,-8.15642)
116:(x,y) = (-19.192,-5.61228)
117:(x,y) = (-22.1806,-5.87374)
118:(x,y) = (-19.2098,-5.45622)
119:(x,y) = (-21.7258,-3.82231)
120:(x,y) = (-23.7332,-1.59287)
121:(x,y) = (-23.6809,1.40667)
122:(x,y) = (-25.3584,-1.08044)
123:(x,y) = (-26.2855,-3.93361)
124:(x,y) = (-23.5891,-5.24873)
125:(x,y) = (-20.991,-3.74873)
126:(x,y) = (-23.1124,-5.87005)
127:(x,y) = (-20.5409,-4.32493)
128:(x,y) = (-17.5409,-4.32493)
129:(x,y) = (-15.8201,-6.78239)
130:(x,y) = (-18.1842,-4.9354)
131:(x,y) = (-20.8572,-6.29737)
132:(x,y) = (-20.7525,-9.29555)
133:(x,y) = (-18.7843,-11.5597)
134:(x,y) = (-18.575,-14.5524)
135:(x,y) = (-18.9926,-11.5816)
136:(x,y) = (-16.6285,-9.73458)
137:(x,y) = (-13.7447,-8.90767)
138:(x,y) = (-14.1623,-11.8785)
139:(x,y) = (-15.0893,-9.0253)
140:(x,y) = (-17.89,-10.1004)
141:(x,y) = (-15.3459,-11.6902)
142:(x,y) = (-12.3751,-12.1077)
143:(x,y) = (-14.3035,-14.4058)
144:(x,y) = (-12.5827,-16.8633)
145:(x,y) = (-11.4589,-19.6448)
146:(x,y) = (-12.8209,-16.9718)
147:(x,y) = (-14.3209,-14.3737)
148:(x,y) = (-15.9106,-16.9179)
149:(x,y) = (-18.5345,-15.4634)
150:(x,y) = (-15.6367,-14.687)
151:(x,y) = (-18.5056,-15.5641)
152:(x,y) = (-15.9615,-13.9743)
153:(x,y) = (-18.0075,-11.7803)
154:(x,y) = (-16.0393,-14.0444)
155:(x,y) = (-18.6632,-12.59)
156:(x,y) = (-18.1939,-9.62692)
157:(x,y) = (-21.1283,-9.00318)
158:(x,y) = (-18.7324,-7.19774)
159:(x,y) = (-21.4939,-8.36993)
160:(x,y) = (-18.9779,-6.73601)
161:(x,y) = (-19.7544,-3.83824)
162:(x,y) = (-17.058,-5.15335)
163:(x,y) = (-14.2764,-4.02953)
164:(x,y) = (-11.7323,-2.43977)
165:(x,y) = (-14.4053,-1.0778)
166:(x,y) = (-14.5623,1.91809)
167:(x,y) = (-14.51,-1.08146)
168:(x,y) = (-17.3465,-0.104751)
169:(x,y) = (-19.5045,1.97922)
170:(x,y) = (-18.4294,4.77997)
171:(x,y) = (-17.9601,1.8169)
172:(x,y) = (-15.1594,2.892)
173:(x,y) = (-15.8342,5.81511)
174:(x,y) = (-18.7973,5.34581)
175:(x,y) = (-16.3102,3.66823)
176:(x,y) = (-19.1791,2.79112)
177:(x,y) = (-22.124,3.36354)
178:(x,y) = (-20.3185,5.75945)
179:(x,y) = (-18.3111,7.98889)
180:(x,y) = (-20.3185,10.2183)
181:(x,y) = (-17.3555,9.74902)
182:(x,y) = (-15.0573,11.6774)
183:(x,y) = (-18.05,11.4681)
184:(x,y) = (-18.9771,14.3213)
185:(x,y) = (-17.4771,16.9194)
186:(x,y) = (-14.554,16.2445)
187:(x,y) = (-11.9051,14.8361)
188:(x,y) = (-12.2187,11.8525)
189:(x,y) = (-14.7902,13.3976)
190:(x,y) = (-12.3943,15.2031)
191:(x,y) = (-10.3483,13.009)
192:(x,y) = (-12.2767,15.3072)
193:(x,y) = (-12.0674,18.2998)
194:(x,y) = (-9.1985,17.4227)
195:(x,y) = (-6.65435,15.833)
196:(x,y) = (-8.19947,13.2615)
197:(x,y) = (-11.1954,13.4185)
198:(x,y) = (-14.0485,12.4914)
199:(x,y) = (-13.8915,9.49554)
200:(x,y) = (-16.0856,7.44954)
201:(x,y) = (-15.5646,10.404)
202:(x,y) = (-16.6397,13.2047)
203:(x,y) = (-18.1849,10.6332)
204:(x,y) = (-17.3077,13.5021)
205:(x,y) = (-14.6347,12.1401)
206:(x,y) = (-13.2263,9.49131)
207:(x,y) = (-12.9648,12.4799)
208:(x,y) = (-10.1833,13.6037)
209:(x,y) = (-13.1177,12.98)
210:(x,y) = (-11.528,15.5241)
211:(x,y) = (-10.166,18.1971)
212:(x,y) = (-7.22111,17.6247)
213:(x,y) = (-4.22111,17.6247)
214:(x,y) = (-7.1049,16.7978)
215:(x,y) = (-5.93271,19.5593)
216:(x,y) = (-4.21198,22.0168)
217:(x,y) = (-3.79446,19.046)
218:(x,y) = (-2.0311,21.473)
219:(x,y) = (-4.22516,23.519)
220:(x,y) = (-5.94589,21.0616)
221:(x,y) = (-4.58392,23.7346)
222:(x,y) = (-5.99234,21.0857)
223:(x,y) = (-6.20161,18.093)
224:(x,y) = (-8.2476,20.2871)
225:(x,y) = (-9.37142,17.5056)
226:(x,y) = (-10.1983,20.3893)
227:(x,y) = (-13.1614,19.92)
228:(x,y) = (-10.7655,18.1146)
229:(x,y) = (-13.7199,17.5936)
230:(x,y) = (-11.1218,19.0936)
231:(x,y) = (-13.2799,17.0097)
232:(x,y) = (-14.4521,19.7712)
233:(x,y) = (-12.6887,22.1982)
234:(x,y) = (-10.8832,24.5941)
235:(x,y) = (-13.6239,25.8143)
After 236 steps,the subject has the following location:
(x,y) = (-16.1954,27.3595)
or
(m,a) = (31.7936,120.623)
Average outward distance per step = 0.134719
0:(x,y) = (0,0)
1:(x,y) = (0.776457,2.89778)
2:(x,y) = (-2.15799,2.27404)
3:(x,y) = (-4.04595,4.60548)
4:(x,y) = (-1.12284,5.28033)
5:(x,y) = (0.84534,3.0162)
6:(x,y) = (-2.02357,2.13909)
7:(x,y) = (-3.65749,-0.376922)
8:(x,y) = (-5.20261,-2.94842)
9:(x,y) = (-8.17341,-3.36594)
10:(x,y) = (-5.26252,-4.09171)
11:(x,y) = (-7.38384,-1.97039)
12:(x,y) = (-4.48607,-2.74685)
13:(x,y) = (-2.5577,-0.448712)
14:(x,y) = (-5.49215,0.175023)
15:(x,y) = (-8.48803,0.33203)
16:(x,y) = (-8.27876,-2.66066)
17:(x,y) = (-6.77876,-0.0625855)
18:(x,y) = (-4.5847,1.98341)
19:(x,y) = (-2.69674,-0.348028)
20:(x,y) = (-1.72004,-3.18458)
21:(x,y) = (-3.48339,-0.757533)
22:(x,y) = (-6.42827,-1.32996)
23:(x,y) = (-4.83852,-3.8741)
24:(x,y) = (-3.2934,-6.44561)
25:(x,y) = (-1.70364,-3.90146)
26:(x,y) = (-2.58076,-6.77038)
27:(x,y) = (-4.34412,-9.19743)
28:(x,y) = (-6.06485,-6.73997)
29:(x,y) = (-8.58086,-5.10605)
30:(x,y) = (-9.40777,-7.98984)
31:(x,y) = (-6.4447,-8.45914)
32:(x,y) = (-5.87228,-11.404)
33:(x,y) = (-7.32671,-14.0279)
34:(x,y) = (-7.69231,-17.0055)
35:(x,y) = (-4.87324,-18.0316)
36:(x,y) = (-3.94618,-15.1784)
37:(x,y) = (-0.968546,-14.8128)
38:(x,y) = (-2.33052,-12.1398)
39:(x,y) = (-1.50361,-9.256)
40:(x,y) = (-2.38072,-6.38709)
41:(x,y) = (-1.40402,-9.22364)
42:(x,y) = (-3.37219,-6.95951)
43:(x,y) = (-1.25087,-9.08083)
44:(x,y) = (1.6023,-8.15378)
45:(x,y) = (3.68627,-10.3118)
46:(x,y) = (3.89554,-13.3045)
47:(x,y) = (1.70148,-11.2585)
48:(x,y) = (-0.382495,-9.10048)
49:(x,y) = (1.73882,-6.97916)
50:(x,y) = (3.00668,-4.26024)
51:(x,y) = (5.09065,-6.41825)
52:(x,y) = (2.3091,-5.29443)
53:(x,y) = (0.545747,-7.72149)
54:(x,y) = (2.35119,-5.32558)
55:(x,y) = (3.1781,-2.44179)
56:(x,y) = (5.54214,-0.59481)
57:(x,y) = (5.48978,2.40473)
58:(x,y) = (2.57889,1.67897)
59:(x,y) = (4.84302,3.64714)
60:(x,y) = (3.96591,0.778231)
61:(x,y) = (6.96545,0.725873)
62:(x,y) = (6.39302,-2.21901)
63:(x,y) = (4.50506,-4.55045)
64:(x,y) = (7.44994,-5.12287)
65:(x,y) = (9.17067,-2.66542)
66:(x,y) = (8.75315,-5.63622)
67:(x,y) = (6.82479,-7.93435)
68:(x,y) = (4.93683,-5.60292)
69:(x,y) = (4.21106,-2.69203)
70:(x,y) = (1.94693,-0.723852)
71:(x,y) = (4.66586,-1.99171)
72:(x,y) = (3.44565,0.748929)
73:(x,y) = (2.71988,3.65982)
74:(x,y) = (5.29138,5.20493)
75:(x,y) = (2.66752,6.65936)
76:(x,y) = (5.44908,5.53554)
77:(x,y) = (4.52203,8.38871)
78:(x,y) = (4.41733,5.39054)
79:(x,y) = (2.08589,3.50258)
80:(x,y) = (-0.811889,4.27903)
81:(x,y) = (1.94963,3.10684)
82:(x,y) = (4.07095,0.985519)
83:(x,y) = (1.39793,2.34749)
84:(x,y) = (3.24491,4.71152)
85:(x,y) = (2.62118,1.77708)
86:(x,y) = (-0.140338,2.94927)
87:(x,y) = (-3.13623,3.10628)
88:(x,y) = (-0.487384,1.69787)
89:(x,y) = (2.11069,0.197867)
90:(x,y) = (4.19467,2.35589)
91:(x,y) = (4.03766,5.35177)
92:(x,y) = (2.58323,7.97563)
93:(x,y) = (0.499255,5.81761)
94:(x,y) = (2.62058,3.69629)
95:(x,y) = (2.04815,6.64118)
96:(x,y) = (3.26836,9.38181)
97:(x,y) = (1.00423,7.41363)
98:(x,y) = (0.847222,10.4095)
99:(x,y) = (3.83581,10.671)
100:(x,y) = (1.23773,12.171)
101:(x,y) = (0.562877,9.24788)
102:(x,y) = (-2.42571,9.50935)
103:(x,y) = (-4.94172,11.1433)
104:(x,y) = (-5.56545,8.20882)
105:(x,y) = (-6.24031,5.28571)
106:(x,y) = (-5.06811,2.5242)
107:(x,y) = (-4.39326,-0.398913)
108:(x,y) = (-2.75934,2.1171)
109:(x,y) = (-5.74793,1.85563)
110:(x,y) = (-2.75934,2.1171)
111:(x,y) = (-3.38308,5.05154)
112:(x,y) = (-6.03192,3.64313)
113:(x,y) = (-7.05798,0.824049)
114:(x,y) = (-9.65606,-0.675951)
115:(x,y) = (-7.1986,1.04478)
116:(x,y) = (-5.07728,-1.07654)
117:(x,y) = (-8.00039,-0.401689)
118:(x,y) = (-10.9548,-0.922634)
119:(x,y) = (-8.02037,-1.54637)
120:(x,y) = (-5.75624,0.421809)
121:(x,y) = (-8.15215,2.22725)
122:(x,y) = (-8.46574,5.21082)
123:(x,y) = (-9.39279,8.06399)
124:(x,y) = (-11.4388,10.258)
125:(x,y) = (-12.4155,7.42149)
126:(x,y) = (-13.9606,4.84999)
127:(x,y) = (-12.9839,7.68655)
128:(x,y) = (-13.6076,10.621)
129:(x,y) = (-15.1974,13.1651)
130:(x,y) = (-17.5614,15.0121)
131:(x,y) = (-18.5381,12.1756)
132:(x,y) = (-20.9956,13.8963)
133:(x,y) = (-18.0611,13.2726)
134:(x,y) = (-16.3836,15.7597)
135:(x,y) = (-17.9733,13.2155)
136:(x,y) = (-15.852,15.3368)
137:(x,y) = (-12.8593,15.1276)
138:(x,y) = (-15.8588,15.0752)
139:(x,y) = (-17.7058,12.7112)
140:(x,y) = (-20.1017,14.5166)
141:(x,y) = (-20.8782,17.4144)
142:(x,y) = (-18.1818,16.0993)
143:(x,y) = (-15.4003,14.9755)
144:(x,y) = (-13.7227,12.4884)
145:(x,y) = (-12.8958,9.60458)
146:(x,y) = (-9.97266,10.2794)
147:(x,y) = (-12.9612,10.5409)
148:(x,y) = (-13.8883,7.68773)
149:(x,y) = (-16.5613,9.0497)
150:(x,y) = (-19.2343,10.4117)
151:(x,y) = (-22.0875,11.3387)
152:(x,y) = (-19.6605,13.1021)
153:(x,y) = (-20.0261,16.0797)
154:(x,y) = (-19.1489,18.9486)
155:(x,y) = (-21.968,19.9747)
156:(x,y) = (-19.0571,20.7005)
After 157 steps,the subject has the following location:
(x,y) = (-21.0645,22.9299)
or
(m,a) = (31.1367,132.572)
Average outward distance per step = 0.198323
0:(x,y) = (0,0)
1:(x,y) = (-1.76336,2.42705)
2:(x,y) = (-0.0426264,4.88451)
3:(x,y) = (-1.06869,2.06543)
4:(x,y) = (-1.01633,-0.934114)
5:(x,y) = (-4.0145,-1.03881)
6:(x,y) = (-3.49356,1.91561)
7:(x,y) = (-5.95101,3.63634)
8:(x,y) = (-8.78757,2.65964)
9:(x,y) = (-7.56736,-0.0810006)
10:(x,y) = (-7.515,2.91854)
11:(x,y) = (-7.72427,-0.0741497)
12:(x,y) = (-6.79722,2.77902)
13:(x,y) = (-9.44606,1.37061)
14:(x,y) = (-11.08,-1.14541)
15:(x,y) = (-13.126,1.04865)
16:(x,y) = (-10.968,3.13263)
17:(x,y) = (-10.5504,0.161826)
18:(x,y) = (-13.1993,-1.24659)
19:(x,y) = (-10.2107,-1.50806)
20:(x,y) = (-10.2107,-4.50806)
21:(x,y) = (-11.5727,-1.83504)
22:(x,y) = (-9.20863,0.0119476)
23:(x,y) = (-9.26099,-2.9876)
24:(x,y) = (-6.37721,-3.81451)
25:(x,y) = (-3.43233,-4.38693)
26:(x,y) = (-2.26013,-1.62542)
27:(x,y) = (-0.413148,-3.98945)
28:(x,y) = (0.0561557,-1.02639)
29:(x,y) = (-2.59269,0.382027)
30:(x,y) = (-1.66564,-2.47114)
31:(x,y) = (-4.06154,-4.27659)
32:(x,y) = (-7.02461,-3.80728)
33:(x,y) = (-5.39069,-1.29127)
34:(x,y) = (-7.72213,0.596689)
35:(x,y) = (-10.6452,1.27154)
36:(x,y) = (-13.616,0.854023)
37:(x,y) = (-15.7741,2.938)
38:(x,y) = (-13.5446,4.94539)
39:(x,y) = (-15.8088,2.97721)
40:(x,y) = (-18.3803,1.4321)
41:(x,y) = (-18.9527,-1.51278)
42:(x,y) = (-16.4952,0.207946)
43:(x,y) = (-18.3422,2.57198)
44:(x,y) = (-18.7597,-0.398826)
45:(x,y) = (-19.1773,-3.36963)
46:(x,y) = (-22.0462,-2.49251)
47:(x,y) = (-19.2847,-3.66471)
48:(x,y) = (-19.2847,-0.664708)
49:(x,y) = (-21.5141,-2.6721)
50:(x,y) = (-23.0592,-5.2436)
51:(x,y) = (-24.6931,-2.72759)
52:(x,y) = (-26.6215,-0.429457)
53:(x,y) = (-25.2131,-3.0783)
54:(x,y) = (-27.9946,-1.95448)
55:(x,y) = (-28.2561,1.0341)
56:(x,y) = (-25.4195,2.01081)
57:(x,y) = (-23.9651,-0.61305)
58:(x,y) = (-21.9577,-2.84248)
59:(x,y) = (-18.9691,-3.10395)
60:(x,y) = (-19.2827,-0.120386)
61:(x,y) = (-18.0625,-2.86102)
62:(x,y) = (-21.0256,-3.33033)
63:(x,y) = (-23.96,-2.70659)
64:(x,y) = (-26.0813,-4.82791)
65:(x,y) = (-23.5372,-3.23815)
66:(x,y) = (-25.4251,-5.56959)
67:(x,y) = (-24.6487,-2.67181)
68:(x,y) = (-27.5718,-3.34667)
69:(x,y) = (-24.7186,-2.41962)
70:(x,y) = (-23.2642,-5.04348)
